,height1,height2,height3,height4,height5,height6,width1,width2,width3,width4,width5,width6,heightByWidth1,heightByWidth2,heightByWidth3,heightByWidth4,heightByWidth5,heightByWidth6
0,0.29004329004329005,0.3917748917748918,0.30952380952380953,0.30952380952380953,0.30952380952380953,0.30952380952380953,1.0,1.0,0.2792207792207792,0.25162337662337664,0.21753246753246752,0.2418831168831169,0.29004329004329005,0.3917748917748918,0.08642547928262213,0.07788342609771182,0.06733147804576375,0.07486858379715523
1,0.3116883116883117,0.461038961038961,0.31601731601731603,0.36363636363636365,0.5346320346320347,0.5346320346320347,0.4642857142857143,0.5324675324675324,0.4642857142857143,0.4642857142857143,0.26785714285714285,0.26136363636363635,0.14471243042671614,0.2454882779558104,0.14672232529375387,0.16883116883116883,0.14320500927643787,0.13973337268791816
2,0.2662337662337662,0.7294372294372294,0.22727272727272727,0.49783549783549785,0.49783549783549785,0.49783549783549785,1.0,0.22727272727272727,0.7694805194805194,0.2483766233766234,0.2435064935064935,0.2711038961038961,0.2662337662337662,0.16578118850846124,0.1748819362455726,0.12365069994940125,0.12122617642098162,0.1349651430820262
3,1.0,0.31601731601731603,0.31601731601731603,0.19480519480519481,0.4805194805194805,0.4805194805194805,0.5178571428571429,0.10876623376623376,0.36688311688311687,0.4788961038961039,0.2483766233766234,0.22727272727272727,0.5178571428571429,0.03437201326811717,0.11594141788946984,0.09329144881092934,0.11934980603811773,0.10920897284533648
4,0.11038961038961038,0.11471861471861472,0.18614718614718614,0.18181818181818182,0.19913419913419914,0.18614718614718614,1.0,1.0,1.0,1.0,1.0,1.0,0.11038961038961038,0.11471861471861472,0.18614718614718614,0.18181818181818182,0.19913419913419914,0.18614718614718614
5,1.0,1.0,1.0,0.3246753246753247,0.3528138528138528,0.31385281385281383,0.15422077922077923,0.16558441558441558,0.19642857142857142,0.474025974025974,0.474025974025974,0.474025974025974,0.15422077922077923,0.16558441558441558,0.19642857142857142,0.15390453702142012,0.16724293022994322,0.1487743857873728
6,1.0,1.0,1.0,0.3722943722943723,0.3008658008658009,0.3181818181818182,0.1266233766233766,0.15746753246753248,0.18831168831168832,0.5178571428571429,0.5178571428571429,0.5178571428571429,0.1266233766233766,0.15746753246753248,0.18831168831168832,0.19279529993815708,0.15580550401978976,0.1647727272727273
7,1.0,0.20995670995670995,0.7857142857142857,0.23809523809523808,0.5432900432900433,0.5432900432900433,0.22727272727272727,0.7694805194805194,0.2418831168831169,0.5243506493506493,0.26785714285714285,0.2532467532467532,0.22727272727272727,0.16155759824590993,0.19005102040816327,0.12484539270253556,0.14552411873840443,0.13758643953449146
8,1.0,1.0,0.26406926406926406,0.24458874458874458,0.24675324675324675,0.23160173160173161,0.1314935064935065,0.10227272727272728,0.7597402597402597,0.7597402597402597,0.7597402597402597,0.7597402597402597,0.1314935064935065,0.10227272727272728,0.2006240512734019,0.18582391634339684,0.1874683757800641,0.17595715972339349
9,1.0,1.0,0.11904761904761904,0.1471861471861472,0.7251082251082251,0.7251082251082251,0.1331168831168831,0.06818181818181818,0.7922077922077922,0.7922077922077922,0.538961038961039,0.25,0.1331168831168831,0.06818181818181818,0.0943104514533086,0.11660201270590882,0.39080508236352396,0.1812770562770563
10,1.0,1.0,0.2554112554112554,0.2792207792207792,0.45670995670995673,0.45670995670995673,0.19318181818181818,0.2840909090909091,0.5162337662337663,0.5162337662337663,0.262987012987013,0.25,0.19318181818181818,0.2840909090909091,0.1318519143194468,0.1441431944678698,0.12010878731657953,0.11417748917748918
11,1.0,0.26406926406926406,0.21645021645021645,0.21212121212121213,0.16666666666666666,0.12337662337662338,0.5292207792207793,0.4675324675324675,0.4675324675324675,0.4675324675324675,0.4675324675324675,0.4675324675324675,0.5292207792207793,0.12346095462978579,0.10119750379490638,0.09917355371900827,0.07792207792207792,0.05768257716309664
12,1.0,0.18181818181818182,0.8138528138528138,0.1774891774891775,0.6320346320346321,0.6320346320346321,0.17045454545454544,0.8262987012987013,0.1331168831168831,0.689935064935065,0.4707792207792208,0.2159090909090909,0.17045454545454544,0.1502361275088548,0.10833754989599144,0.12245600719626695,0.29754877157474563,0.1364620228256592
13,0.3203463203463203,0.3225108225108225,0.3484848484848485,0.3484848484848485,0.3484848484848485,0.3484848484848485,1.0,1.0,0.2922077922077922,0.23863636363636365,0.23863636363636365,0.22077922077922077,0.3203463203463203,0.3225108225108225,0.10182998819362456,0.0831611570247934,0.0831611570247934,0.07693821330184966
14,1.0,1.0,0.11471861471861472,0.8809523809523809,1.0,1.0,0.07792207792207792,0.07142857142857142,0.7191558441558441,0.7191558441558441,0.06168831168831169,0.056818181818181816,0.07792207792207792,0.07142857142857142,0.08250056220835442,0.6335420531849103,0.06168831168831169,0.056818181818181816
15,0.21428571428571427,0.7813852813852814,0.7813852813852814,0.3593073593073593,0.41774891774891776,0.41774891774891776,1.0,0.1185064935064935,0.137987012987013,0.737012987012987,0.3717532467532468,0.362012987012987,0.21428571428571427,0.09259922977455445,0.10782102097037162,0.2648141901388655,0.15529951650081522,0.15123053353572835
16,1.0,0.19913419913419914,0.2532467532467532,0.20562770562770563,0.18181818181818182,0.14285714285714285,0.18506493506493507,0.8116883116883117,0.8116883116883117,0.8116883116883117,0.8116883116883117,0.8116883116883117,0.18506493506493507,0.16163490189464216,0.2055574295834036,0.16690560521729353,0.14757969303423848,0.11595547309833024
17,1.0,0.21861471861471862,0.7770562770562771,0.24458874458874458,0.5281385281385281,0.5281385281385281,0.18993506493506493,0.8068181818181818,0.16233766233766234,0.6412337662337663,0.4772727272727273,0.16071428571428573,0.18993506493506493,0.17638232979142068,0.1261454995221229,0.1568385618710294,0.25206611570247933,0.08487940630797774
18,1.0,0.2554112554112554,0.7402597402597403,0.18181818181818182,0.5541125541125541,0.5541125541125541,0.22402597402597402,0.7727272727272727,0.22402597402597402,0.5454545454545454,0.16233766233766234,0.37987012987012986,0.22402597402597402,0.19736324281778828,0.16583740934390284,0.09917355371900825,0.08995333670658345,0.2104908078934053
19,0.683982683982684,0.3116883116883117,0.2012987012987013,0.7943722943722944,0.6796536796536796,0.31601731601731603,0.2353896103896104,0.2353896103896104,0.5535714285714286,0.5535714285714286,0.20454545454545456,0.20454545454545456,0.161002417495924,0.07336819025130714,0.11143320964749537,0.4397418058132344,0.13902007083825266,0.06463990554899647
20,1.0,0.22727272727272727,0.2554112554112554,0.2012987012987013,0.15584415584415584,0.14285714285714285,0.2305194805194805,0.7662337662337663,0.7662337662337663,0.7662337662337663,0.7662337662337663,0.7662337662337663,0.2305194805194805,0.1741440377804014,0.19570472817226064,0.15424186203406984,0.11941305447798954,0.10946196660482374
21,0.2922077922077922,1.0,0.5043290043290043,0.19480519480519481,0.5173160173160173,0.47835497835497837,0.2987012987012987,0.42694805194805197,0.2987012987012987,0.2987012987012987,0.26785714285714285,0.26785714285714285,0.08728284702310675,0.42694805194805197,0.15064372856580646,0.058188564682071175,0.13856679035250463,0.1281307977736549
22,0.6601731601731602,0.3354978354978355,1.0,0.2597402597402597,0.44155844155844154,0.29004329004329005,0.2418831168831169,0.2418831168831169,0.21428571428571427,0.5373376623376623,0.5373376623376623,0.5373376623376623,0.15968474166526117,0.08115126215775567,0.21428571428571427,0.1395682239838084,0.23726598077247427,0.15585118344858606
23,1.0,0.5367965367965368,0.5367965367965368,0.4588744588744589,0.4588744588744589,0.4588744588744589,0.2012987012987013,0.39935064935064934,0.39285714285714285,0.22727272727272727,0.3051948051948052,0.2564935064935065,0.2012987012987013,0.21437004553887673,0.2108843537414966,0.10428964974419519,0.14004610108506213,0.1176983189970203
24,1.0,1.0,0.2662337662337662,0.27056277056277056,0.24025974025974026,0.20995670995670995,0.16071428571428573,0.1396103896103896,0.6931818181818182,0.6931818181818182,0.6931818181818182,0.6931818181818182,0.16071428571428573,0.1396103896103896,0.18454840613931522,0.18754919323101144,0.16654368358913815,0.14553817394726487
25,1.0,1.0,0.24025974025974026,0.25757575757575757,0.2857142857142857,0.20346320346320346,0.17532467532467533,0.18831168831168832,0.6298701298701299,0.6298701298701299,0.6298701298701299,0.6298701298701299,0.17532467532467533,0.18831168831168832,0.15133243379996628,0.16223927587563952,0.17996289424860853,0.12815539438916063
26,1.0,1.0,1.0,1.0,1.0,1.0,0.19480519480519481,0.1314935064935065,0.19805194805194806,0.1737012987012987,0.1461038961038961,0.1396103896103896,0.19480519480519481,0.1314935064935065,0.19805194805194806,0.1737012987012987,0.1461038961038961,0.1396103896103896
27,1.0,0.2619047619047619,0.7337662337662337,0.3051948051948052,0.42424242424242425,0.42424242424242425,0.16071428571428573,0.836038961038961,0.3246753246753247,0.5081168831168831,0.24675324675324675,0.25811688311688313,0.16071428571428573,0.2189625850340136,0.2382357901838421,0.15507463315904874,0.1046831955922865,0.10950413223140497
28,0.2792207792207792,0.7164502164502164,0.5151515151515151,0.4805194805194805,0.7532467532467533,0.24242424242424243,0.28733766233766234,0.28733766233766234,0.42857142857142855,0.42857142857142855,0.2775974025974026,0.2775974025974026,0.08023064597739922,0.2058631303761174,0.22077922077922077,0.2059369202226345,0.20909934221622536,0.06729634002361276
29,1.0,1.0,1.0,0.14285714285714285,0.23809523809523808,0.6103896103896104,0.10064935064935066,0.11201298701298701,0.11201298701298701,0.6655844155844156,0.6655844155844156,0.6655844155844156,0.10064935064935066,0.11201298701298701,0.11201298701298701,0.09508348794063079,0.15847247990105132,0.406265812109968
30,1.0,0.23160173160173161,0.22294372294372294,0.19480519480519481,0.18398268398268397,0.14935064935064934,0.18181818181818182,0.814935064935065,0.814935064935065,0.814935064935065,0.814935064935065,0.814935064935065,0.18181818181818182,0.18874037218193063,0.181684657334008,0.1587535840782594,0.1499339405183561,0.12171108112666554
31,0.15800865800865802,0.15151515151515152,0.6818181818181818,0.6818181818181818,0.6818181818181818,0.6818181818181818,1.0,1.0,0.2305194805194805,0.26136363636363635,0.21915584415584416,0.2792207792207792,0.15800865800865802,0.15151515151515152,0.15717237308146398,0.17820247933884295,0.14942443919716647,0.19037780401416762
32,0.10173160173160173,0.8939393939393939,0.8939393939393939,0.8939393939393939,0.44155844155844154,0.44805194805194803,1.0,0.10064935064935066,0.11201298701298701,0.2077922077922078,0.5698051948051948,0.5698051948051948,0.10173160173160173,0.08997441951987407,0.10013282172373081,0.18575364029909486,0.251602293810086,0.25530232754258725
33,0.18831168831168832,0.1645021645021645,0.6385281385281385,0.6385281385281385,0.6385281385281385,0.6385281385281385,1.0,1.0,0.18668831168831168,0.2840909090909091,0.32142857142857145,0.19805194805194806,0.18831168831168832,0.1645021645021645,0.11920574014729858,0.18140003935458482,0.20524118738404454,0.12646174172148197
34,1.0,0.23376623376623376,0.7619047619047619,0.3268398268398268,0.43073593073593075,0.43073593073593075,0.19155844155844157,0.8051948051948052,0.19318181818181818,0.6087662337662337,0.3051948051948052,0.3003246753246753,0.19155844155844157,0.1882273570585259,0.14718614718614717,0.19896905043008936,0.13145836847135547,0.12936062854894023
35,1.0,0.19696969696969696,0.7987012987012987,0.20995670995670995,0.5844155844155844,0.5844155844155844,0.24675324675324675,0.75,0.17045454545454544,0.5762987012987013,0.2857142857142857,0.28733766233766234,0.24675324675324675,0.1477272727272727,0.136142266824085,0.12099777927700006,0.16697588126159554,0.16792460785967278
36,0.2727272727272727,0.7229437229437229,0.7229437229437229,0.4805194805194805,0.12987012987012986,0.1038961038961039,1.0,0.3538961038961039,0.29383116883116883,0.3457792207792208,0.3457792207792208,0.3457792207792208,0.2727272727272727,0.2558469668859279,0.2124233991117108,0.16615365154326195,0.04490639230898971,0.03592511384719178
37,1.0,1.0,0.24458874458874458,0.24458874458874458,0.5021645021645021,0.5021645021645021,0.15422077922077923,0.12824675324675325,0.711038961038961,0.711038961038961,0.37012987012987014,0.33766233766233766,0.15422077922077923,0.12824675324675325,0.17391212683420473,0.17391212683420473,0.1858660819699781,0.1695620396919098
38,1.0,0.47186147186147187,0.5238095238095238,0.24025974025974026,0.2792207792207792,0.2792207792207792,0.42045454545454547,0.5762987012987013,0.2792207792207792,0.29383116883116883,0.15584415584415584,0.13474025974025974,0.42045454545454547,0.2719331534266599,0.14625850340136054,0.07059580030359251,0.043514926631809746,0.03762228031708551
39,1.0,0.2619047619047619,0.7337662337662337,0.24675324675324675,0.48268398268398266,0.48268398268398266,0.262987012987013,0.7337662337662337,0.2077922077922078,0.5227272727272727,0.2711038961038961,0.2483766233766234,0.262987012987013,0.1921768707482993,0.15247090571765898,0.12898465171192444,0.13085750829257323,0.11988741777702816
40,1.0,1.0,1.0,1.0,1.0,1.0,0.17694805194805194,0.1737012987012987,0.16396103896103897,0.1038961038961039,0.12824675324675325,0.237012987012987,0.17694805194805194,0.1737012987012987,0.16396103896103897,0.1038961038961039,0.12824675324675325,0.237012987012987
41,1.0,0.14935064935064934,0.14285714285714285,0.6991341991341992,0.6991341991341992,0.6991341991341992,0.20292207792207792,0.7938311688311688,0.7938311688311688,0.11363636363636363,0.336038961038961,0.33766233766233766,0.20292207792207792,0.11855920053972001,0.11340445269016697,0.07944706808343172,0.23493632990386237,0.23607128801934
42,1.0,1.0,1.0,1.0,1.0,1.0,0.1672077922077922,0.1396103896103896,0.14123376623376624,0.15422077922077923,0.18019480519480519,0.2012987012987013,0.1672077922077922,0.1396103896103896,0.14123376623376624,0.15422077922077923,0.18019480519480519,0.2012987012987013
43,1.0,1.0,0.2597402597402597,0.21861471861471862,0.22510822510822512,0.28354978354978355,0.2224025974025974,0.25162337662337664,0.5194805194805194,0.5194805194805194,0.5194805194805194,0.5194805194805194,0.2224025974025974,0.25162337662337664,0.13493000505987515,0.11356608759206162,0.1169393377185585,0.1472985888570304
44,1.0,0.22294372294372294,0.7727272727272727,0.20562770562770563,0.5627705627705628,0.5627705627705628,0.23376623376623376,0.762987012987013,0.17694805194805194,0.5827922077922078,0.30194805194805197,0.2775974025974026,0.23376623376623376,0.17010316523303537,0.13673258559622195,0.11983822454601675,0.16992747512228035,0.15622364648338677
45,0.23809523809523808,0.7575757575757576,0.22510822510822512,0.5281385281385281,0.3008658008658009,0.22294372294372294,1.0,0.237012987012987,0.7597402597402597,0.20941558441558442,0.547077922077922,0.547077922077922,0.23809523809523808,0.17955529319165683,0.1710237814133918,0.11060043852251644,0.16459703716197224,0.1219675886883679
46,0.2012987012987013,0.2748917748917749,0.2857142857142857,0.5043290043290043,0.33116883116883117,0.3852813852813853,0.4837662337662338,0.512987012987013,0.4837662337662338,0.4837662337662338,0.512987012987013,0.512987012987013,0.09738151458930681,0.14101591049642997,0.13821892393320964,0.24397734300331703,0.1698853094956991,0.19764434699499633
47,0.27056277056277056,0.7251082251082251,0.22510822510822512,0.49567099567099565,0.24675324675324675,0.24458874458874458,1.0,0.24675324675324675,0.75,0.21915584415584416,0.5275974025974026,0.5275974025974026,0.27056277056277056,0.17892280879293868,0.16883116883116883,0.10862919547984483,0.13018637206948896,0.12904438634958115
48,1.0,0.21861471861471862,1.0,1.0,0.33766233766233766,0.43506493506493504,0.2288961038961039,0.3068181818181818,0.22727272727272727,0.22727272727272727,0.3068181818181818,0.3068181818181818,0.2288961038961039,0.0670749704840614,0.22727272727272727,0.22727272727272727,0.10360094451003542,0.1334858323494687
