sub,img,information_content,conditional_entropy
1,10005,2.5606857364098183,1.3014041409076917
1,10018,-2.4869845379462587,3.403351199829309
1,10042,1.6877944302351322,2.6975696095587507
1,10077,5.018870432296563,1.6736298318769582
1,10157,-2.7334421241379334,3.471506750912413
1,10168,7.421413974324629,0.813218809086452
1,10183,1.1127723099814266,2.3856209375077952
1,10369,0.02473084932561735,2.8136608178591707
1,10407,5.37954941274336,1.857863295032427
1,10447,7.841046894215755,0.8821655409233029
1,10587,4.692112252078319,1.839521464392572
1,10619,7.812845481242051,0.6283014467927392
1,10632,1.651610539639257,2.1811838316899217
1,10653,7.7694082359142165,0.8647480771205379
1,10660,-0.7320816029893927,3.8100971008095863
1,10702,3.801754613114983,1.4792024706784679
1,10732,11.830255416180343,0.0
1,10750,8.193205880034784,0.9491683024608413
1,10842,-0.20713403619645757,2.1448192254785923
1,10864,7.287484001086788,0.9301140491090916
2,10005,2.3882779455432144,1.3713226054128584
2,10018,-1.0945201168928882,3.9647268776528155
2,10042,2.7810309933678616,2.58657647685138
2,10077,4.066833307566908,1.759011351738551
2,10157,-0.22922720063699714,3.615665378797468
2,10168,6.211393183290467,0.8328541602494974
2,10183,1.317194699164093,2.3567019488885412
2,10369,1.0050167295688939,2.8663145596413284
2,10407,5.375280155869993,1.8513415407506055
2,10447,6.645053095106184,0.8427195857235892
2,10587,5.24049825716531,1.7430199292743285
2,10619,7.22960292459143,0.698332455216415
2,10632,0.09331624960324705,2.30095717552972
2,10653,10.396028845810134,0.0
2,10660,1.77508240173934,3.9165615907422104
2,10702,3.5381924213360714,1.6405288730115977
2,10732,9.806747911312469,0.0
2,10750,8.655291231066673,0.9487268412767011
2,10842,-0.006770708819874352,2.3427359693787615
2,10864,7.287484001086788,0.9301140491090916
3,10005,3.2659430632447553,1.4633418001229712
3,10018,-1.3350406008992228,3.932720127356723
3,10042,2.8485965597102827,2.615219871255657
3,10077,3.9353891165961787,1.7364318570693895
3,10157,-0.21299405069456043,3.581844644471813
3,10168,5.997100243194609,0.8168063215153689
3,10183,1.8825738418026918,2.3105882412855783
3,10369,1.513463028293245,2.911947144429665
3,10407,5.346171712137105,1.879021538627311
3,10447,6.771225766598651,0.8805679907389574
3,10587,4.5403466564723445,1.7868023279580052
3,10619,7.733792879784207,0.733170990321418
3,10632,-0.22041732572183284,2.1833823280230567
3,10653,10.546719211920534,0.0
3,10660,1.3070045285566905,3.9452969727142206
3,10702,3.9530434642319334,1.7907907522045081
3,10732,9.754213867668186,0.0
3,10750,9.772289730480324,0.0
3,10842,0.16278282917717304,2.2647492183303903
3,10864,6.554291189638013,0.8872895883471192
4,10005,2.53701185825879,1.5263201560237558
4,10018,-1.6582640143804552,3.838290406863215
4,10042,1.3828237392224272,2.92616589934398
4,10077,2.2593734023713137,1.7008145258664347
4,10157,0.20718228140959036,3.552364835778709
4,10168,7.819823436380592,0.0
4,10183,1.693331368047012,2.5307940946682237
4,10369,2.2170609259100367,2.731920009416865
4,10407,5.06095259862751,1.8371927375340893
4,10447,6.799592431015228,0.8566858650181371
4,10587,5.925229924436645,0.6043687877216419
4,10619,7.041821865834573,0.7126558179892628
4,10632,-0.015775753790778717,2.1846682566197453
4,10653,7.966465092227051,0.9542436756910717
4,10660,-0.8602818902112371,3.9285106656580058
4,10702,3.399426847655731,2.858430471684769
4,10732,11.052296603968367,0.0
4,10750,9.065150325773619,0.0
4,10842,-0.12967010128998577,2.5281450443261484
4,10864,4.663699840709794,0.7066159257850908
5,10005,3.914945792547106,1.5200612523478765
5,10018,-0.9018730079047091,4.055090957974084
5,10042,1.8289175746054505,2.943468654775498
5,10077,3.0046146359017154,1.783283272723572
5,10157,-0.16532046082228832,3.6076758133544105
5,10168,7.486439780183303,0.0
5,10183,1.4357117886884334,2.6340330661433247
5,10369,1.7101632791510057,2.9047913294833294
5,10407,4.584687719069582,1.8088703627564908
5,10447,6.386431238833737,0.7798876179776378
5,10587,6.12105467253488,0.6003062508324964
5,10619,7.331690488105549,0.7565675078186265
5,10632,-0.43475676600428503,2.182026569790693
5,10653,7.878749697887397,0.9648517264019842
5,10660,0.0073499262483386904,3.8307889096529886
5,10702,3.250899819594412,2.9794326519303653
5,10732,9.544337863672995,0.0
5,10750,8.695575699612663,0.0
5,10842,-0.6322709302421844,2.458922239108677
5,10864,5.097077184891963,0.6638590824201458
6,10005,5.386898164885639,1.6624380083564074
6,10018,-0.756973509815526,4.049062256370027
6,10042,1.4594147864954947,2.9152562516890903
6,10077,2.265431370291852,1.661245202388152
6,10157,0.32190423346564306,3.478544487398279
6,10168,8.16482843885963,0.0
6,10183,0.8799475730423428,2.533732003390509
6,10369,2.157728405157572,2.8094802037370816
6,10407,4.633415129269921,1.8454576903727822
6,10447,6.057857482385568,0.7947821284388028
6,10587,6.16697315656556,0.626398370044051
6,10619,6.75036721358162,0.7135453135789465
6,10632,-0.021194104511946865,2.186534998696864
6,10653,8.037181570358584,0.9432104778855883
6,10660,0.6726370944077127,3.6143336129921315
6,10702,2.634329619748274,3.0493518368499344
6,10732,8.29597438759656,0.0
6,10750,8.316064831299073,0.0
6,10842,-0.3952702323261937,2.4752218542528532
6,10864,4.871951733553979,0.7321814183811728
7,10005,6.239749399063577,1.756598731860381
7,10018,0.89303693700255,3.840773624239574
7,10042,2.250839363545059,3.005811346118288
7,10077,2.608572032983906,1.644605427934915
7,10157,3.1271414804900957,3.2497007358594785
7,10168,5.100977305116423,2.2692837244545414
7,10183,2.1839294985942495,2.489500935252767
7,10369,2.0050783682332303,2.869572789045366
7,10407,5.323525757646664,1.8644967465630418
7,10447,6.409253769746661,0.8314347559903292
7,10587,1.8484171483402487,0.921641172501532
7,10619,6.924128335963953,0.7343569220080122
7,10632,1.6177838094919088,2.077789155546518
7,10653,7.885700265267724,0.9669155143665733
7,10660,0.5940720655814299,3.6893560808517947
7,10702,2.634329619748274,3.0493518368499344
7,10732,8.892264317357574,0.0
7,10750,8.782467828125107,0.0
7,10842,0.6631772423405009,2.603534446599159
7,10864,5.1521015054053665,0.7446726515538952
8,10005,5.624198569983674,1.7354421853187616
8,10018,0.5577270365798438,3.9224260066476484
8,10042,2.35402652019899,2.952276511542635
8,10077,2.579821251037642,1.6851907482496853
8,10157,0.26433100238650803,3.2137658450034774
8,10168,5.019060923081856,1.795429531591414
8,10183,2.750831715055502,2.4298093338120648
8,10369,1.9360409068950832,2.8134544409429187
8,10407,4.183353313158211,1.538325419614084
8,10447,4.200806703409152,1.7853929800488018
8,10587,6.515390782675658,0.570707765829289
8,10619,7.793227484960456,0.7728320401008446
8,10632,1.2063277427125674,2.1399269397347456
8,10653,8.174435195715022,0.9536460401022968
8,10660,0.2532110853502623,3.778539459057574
8,10702,2.893602264354019,3.0901809748692806
8,10732,9.504752111411701,0.0
8,10750,6.144301969805009,0.7507273413814654
8,10842,0.8077820574794887,2.5906771750652196
8,10864,5.359961491781184,0.7114240761406667
9,10005,4.359824280419243,1.774707378784888
9,10018,0.12360212450592156,3.950948653971402
9,10042,2.8049462434915013,2.87280081583012
9,10077,1.678033527196109,2.5210810846566267
9,10157,0.24247684039811337,3.240957811209201
9,10168,5.012391081637628,1.7741108316743555
9,10183,2.4033135590217705,2.4621624467307366
9,10369,2.328792008254693,2.6677299359862228
9,10407,3.0693228328753994,1.4626520298256318
9,10447,3.9894538820811456,1.8142022241306113
9,10587,6.101920160249632,0.5692142215994537
9,10619,7.706749868364632,0.7581051204128737
9,10632,1.2482551084202778,2.196257681080656
9,10653,7.958070499769036,0.9359452117214617
9,10660,0.7856668057018343,3.800583996391816
9,10702,2.728692985034374,3.0808436710787452
9,10732,9.866591970782672,0.0
9,10750,6.085462799987018,0.7318403662580244
9,10842,0.8595749662576572,2.717529840516646
9,10864,5.575656423708597,0.9129890140897362
10,10005,6.455972376684324,1.7803959654251662
10,10018,0.4554710509835701,3.920962355469359
10,10042,3.7904499553155273,2.8920345663430185
10,10077,2.764490320681932,2.5620369070011613
10,10157,0.8814869327271929,3.1857670716276276
10,10168,7.76296426600422,1.720435224695739
10,10183,3.3005272319978487,2.4656032899602645
10,10369,2.511189188454701,2.630700630752147
10,10407,3.24051660116002,1.6242322683790777
10,10447,3.614850643204812,1.7495409524547068
10,10587,6.116169510842521,0.5899930706958914
10,10619,7.622901409936782,0.762587475190132
10,10632,2.119974081261039,2.2235140136027036
10,10653,7.9982013173237005,0.9260008402853185
10,10660,1.2978076089700321,3.908673719282193
10,10702,2.183010435400241,3.0171908620012666
10,10732,8.850233204810015,0.0
10,10750,6.94457407235562,0.7977120088820551
10,10842,0.7599350665851569,2.504898343013842
10,10864,5.007281547460126,0.893959943096277
11,10005,5.722348447923818,1.7387752020916911
11,10018,-0.47758635114227044,4.161828747291654
11,10042,2.7879312521337187,3.0209355500502295
11,10077,2.8963404902410446,2.73440857380731
11,10157,-0.9135784120541897,3.3721986891816536
11,10168,5.0802249905309775,1.7216199074567031
11,10183,4.938466866308245,2.4509616699047205
11,10369,2.474967773008802,2.5851517073758368
11,10407,3.7372965694579725,1.741730019822023
11,10447,3.9768345455400165,1.7263721071285918
11,10587,6.396999621121483,0.6521428381652794
11,10619,7.027409171640444,0.7419052522464749
11,10632,1.7486636351390872,2.3234304440620632
11,10653,7.144008856594911,0.9635612612063316
11,10660,1.233538891180074,3.9829385222847695
11,10702,2.1392480500770876,3.044630971383329
11,10732,5.860692848992743,0.8056692934109109
11,10750,6.697204766302363,0.6742086577595573
11,10842,0.8707142937777286,2.600731251606634
11,10864,5.5951365024309805,0.9401614223926869
